chrom,start,end,summit
chr1,4332554,4332804,4332679
chr1,4768442,4768692,4768567
chr1,4769921,4770171,4770046
chr1,4780147,4780397,4780272
chr1,4785382,4785632,4785507
chr1,4785636,4785886,4785761
chr1,4786122,4786372,4786247
chr1,4807504,4807754,4807629
chr1,4807763,4808013,4807888
chr1,4857337,4857587,4857462
chr1,4857614,4857864,4857739
chr1,4858252,4858502,4858377
chr1,5018723,5018973,5018848
chr1,5019302,5019552,5019427
chr1,5046425,5046675,5046550
chr1,5070313,5070563,5070438
chr1,5083001,5083251,5083126
chr1,5103258,5103508,5103383
chr1,5146644,5146894,5146769
chr1,6214246,6214496,6214371
chr1,6214796,6215046,6214921
chr1,6215322,6215572,6215447
chr1,6272303,6272553,6272428
chr1,6382726,6382976,6382851
chr1,6406414,6406664,6406539
chr1,6410159,6410409,6410284
chr1,6417956,6418206,6418081
chr1,6453948,6454198,6454073
chr1,6454338,6454588,6454463
chr1,6467098,6467348,6467223
chr1,7010250,7010500,7010375
chr1,7088425,7088675,7088550
chr1,7088693,7088943,7088818
chr1,7089049,7089299,7089174
chr1,7095932,7096182,7096057
chr1,7204827,7205077,7204952
chr1,7206222,7206472,7206347
chr1,7206665,7206915,7206790
chr1,7218980,7219230,7219105
chr1,7397556,7397806,7397681
chr1,7397838,7398088,7397963
chr1,7414518,7414768,7414643
chr1,7454993,7455243,7455118
chr1,7457965,7458215,7458090
chr1,7490874,7491124,7490999
chr1,7499088,7499338,7499213
chr1,7543555,7543805,7543680
chr1,7769640,7769890,7769765
chr1,9541320,9541570,9541445
chr1,9545179,9545429,9545304
chr1,9573279,9573529,9573404
chr1,9696909,9697159,9697034
chr1,9700242,9700492,9700367
chr1,9700542,9700792,9700667
chr1,9703129,9703379,9703254
chr1,9744906,9745156,9745031
chr1,9747755,9748005,9747880
chr1,9748356,9748606,9748481
chr1,9772818,9773068,9772943
chr1,9798047,9798297,9798172
chr1,9798480,9798730,9798605
chr1,9805998,9806248,9806123
chr1,9822941,9823191,9823066
chr1,9823804,9824054,9823929
chr1,9825908,9826158,9826033
chr1,9827044,9827294,9827169
chr1,9833448,9833698,9833573
chr1,9847700,9847950,9847825
chr1,9848184,9848434,9848309
chr1,9849608,9849858,9849733
chr1,9859012,9859262,9859137
chr1,9859382,9859632,9859507
chr1,9863633,9863883,9863758
chr1,9883121,9883371,9883246
chr1,9944045,9944295,9944170
chr1,9967359,9967609,9967484
chr1,9967858,9968108,9967983
chr1,9968192,9968442,9968317
chr1,9992417,9992667,9992542
chr1,10007294,10007544,10007419
chr1,10037811,10038061,10037936
chr1,10038067,10038317,10038192
chr1,10039672,10039922,10039797
chr1,10040033,10040283,10040158
chr1,10089612,10089862,10089737
chr1,10216993,10217243,10217118
chr1,10220171,10220421,10220296
chr1,10225445,10225695,10225570
chr1,10232267,10232517,10232392
chr1,10232868,10233118,10232993
chr1,10257579,10257829,10257704
chr1,10325380,10325630,10325505
chr1,11065237,11065487,11065362
chr1,11097318,11097568,11097443
chr1,11229446,11229696,11229571
chr1,11657786,11658036,11657911
chr1,12836861,12837111,12836986
chr1,12841415,12841665,12841540
chr1,12843131,12843381,12843256
chr1,12864120,12864370,12864245
chr1,12865134,12865384,12865259
chr1,12865407,12865657,12865532
chr1,12875470,12875720,12875595
chr1,12990241,12990491,12990366
