chrom,start,end,name
chr1,3138619,3139719,blacklist_1
chr1,4249758,4249957,blacklist_2
chr1,5072165,5072870,blacklist_3
chr1,5109306,5109838,blacklist_4
chr1,5109888,5110057,blacklist_5
chr1,5110154,5110338,blacklist_6
chr1,5110473,5111947,blacklist_7
chr1,5112816,5113137,blacklist_8
chr1,7396998,7397119,blacklist_9
chr1,7709264,7709484,blacklist_10
chr1,8798032,8798239,blacklist_11
chr1,9436723,9436957,blacklist_12
chr1,9546187,9546517,blacklist_13
chr1,9636910,9637434,blacklist_14
chr1,9705346,9705592,blacklist_15
chr1,9874183,9874721,blacklist_16
chr1,10259467,10259763,blacklist_17
chr1,10307838,10308318,blacklist_18
chr1,10759280,10759543,blacklist_19
chr1,12358733,12358979,blacklist_20
chr1,12565757,12566002,blacklist_21
chr1,12643819,12645719,blacklist_22
chr1,12657353,12657961,blacklist_23
chr1,12951896,12952633,blacklist_24
chr1,12958919,12959919,blacklist_25
chr1,12962465,12962626,blacklist_26
chr1,13058499,13058857,blacklist_27
chr1,13203274,13203548,blacklist_28
chr1,13258041,13258299,blacklist_29
chr1,13268397,13268765,blacklist_30
chr1,13347373,13347631,blacklist_31
chr1,13768115,13768284,blacklist_32
chr1,13780460,13780820,blacklist_33
chr1,13787715,13788334,blacklist_34
chr1,14051385,14052207,blacklist_35
chr1,14959419,14960519,blacklist_36
chr1,16342837,16343197,blacklist_37
chr1,16592714,16593620,blacklist_38
chr1,18637363,18637594,blacklist_39
chr1,19176174,19176457,blacklist_40
chr1,20232514,20232784,blacklist_41
chr1,20398107,20398424,blacklist_42
chr1,20920140,20920391,blacklist_43
chr1,21024755,21024976,blacklist_44
chr1,21206452,21206621,blacklist_45
chr1,21304615,21304925,blacklist_46
chr1,21370044,21370363,blacklist_47
chr1,21632633,21633090,blacklist_48
chr1,22555793,22556082,blacklist_49
chr1,22558683,22558957,blacklist_50
chr1,22855956,22856174,blacklist_51
chr1,24609197,24618547,blacklist_52
chr1,24611571,24614898,chrM_1
chr1,24615026,24616117,chrM_2
chr1,24683945,24684342,blacklist_53
chr1,24806955,24808855,blacklist_54
chr1,24931201,24931407,blacklist_55
chr1,25526412,25526624,blacklist_56
chr1,25997004,25997371,blacklist_57
chr1,26274555,26274933,blacklist_58
chr1,26421676,26421871,blacklist_59
chr1,26684491,26690074,blacklist_60
chr1,27203488,27203737,blacklist_61
chr1,31129852,31130074,blacklist_62
chr1,31791871,31792279,blacklist_63
chr1,31793173,31793583,blacklist_64
chr1,31793714,31794516,blacklist_65
chr1,32378529,32378700,blacklist_66
chr1,33538919,33539195,blacklist_67
chr1,33681496,33681895,blacklist_68
chr1,33990055,33991955,blacklist_69
chr1,34533172,34533497,blacklist_70
chr1,34752940,34753120,chrM_3
chr1,34753066,34753100,blacklist_71
chr1,35652016,35652313,blacklist_72
chr1,36280805,36281216,blacklist_73
chr1,36285365,36286082,blacklist_74
chr1,36286169,36286213,blacklist_75
chr1,36286536,36288573,blacklist_76
chr1,36289798,36289825,blacklist_77
chr1,36963173,36963542,blacklist_78
chr1,37231842,37234103,blacklist_79
chr1,37234276,37234296,blacklist_80
chr1,37234570,37234599,blacklist_81
chr1,37235047,37235120,blacklist_82
chr1,37235205,37235378,blacklist_83
chr1,37313347,37313900,blacklist_84
chr1,37850666,37851127,blacklist_85
chr1,38043087,38043315,blacklist_86
chr1,38610693,38611038,blacklist_87
chr1,38653333,38653444,blacklist_88
chr1,38808951,38809868,blacklist_89
chr1,38809881,38810522,blacklist_90
chr1,39079777,39080060,blacklist_91
chr1,39499565,39499962,blacklist_92
chr1,39703844,39704090,blacklist_93
chr1,40738414,40738519,blacklist_94
chr1,43618222,43623203,blacklist_95
chr1,43777563,43778306,blacklist_96
chr1,43778369,43779006,blacklist_97
chr1,44201158,44201433,blacklist_98
chr1,44350340,44350611,blacklist_99
chr1,45202520,45202803,blacklist_100
chr1,45645367,45645646,blacklist_101
chr1,46059246,46059590,blacklist_102
chr1,46073657,46074002,blacklist_103
chr1,46074750,46078626,blacklist_104
chr1,46110926,46111247,blacklist_105
chr1,46341054,46341253,blacklist_106
chr1,46732456,46732716,blacklist_107
chr1,48044097,48044280,blacklist_108
chr1,48881423,48881729,blacklist_109
chr1,50370372,50370653,blacklist_110
chr1,50879852,50880134,blacklist_111
chr1,53359618,53359844,blacklist_112
chr1,54740111,54740402,blacklist_113
chr1,55147131,55147396,blacklist_114
chr1,55330227,55330352,blacklist_115
chr1,56782185,56782500,blacklist_116
chr1,58374941,58375222,blacklist_117
chr1,58382655,58382931,blacklist_118
chr1,58436663,58436803,blacklist_119
chr1,58611456,58616486,blacklist_120
chr1,59006644,59007063,blacklist_121
chr1,59998672,59999062,blacklist_122
chr1,60164610,60164977,blacklist_123
chr1,60227845,60228100,blacklist_124
chr1,63629626,63630943,blacklist_125
chr1,64134025,64134136,blacklist_126
chr1,64641598,64642024,blacklist_127
chr1,65421089,65421120,blacklist_128
chr1,65699723,65700069,blacklist_129
chr1,66496699,66497041,blacklist_130
chr1,66902426,66902660,blacklist_131
chr1,67049846,67050125,blacklist_132
chr1,69456639,69456983,blacklist_133
chr1,71079232,71079521,blacklist_134
chr1,72468965,72469396,blacklist_135
chr1,72696435,72696610,blacklist_136
chr1,73549226,73551026,blacklist_137
chr1,73648882,73649184,blacklist_138
chr1,73853432,73853708,blacklist_139
chr1,75461860,75462204,blacklist_140
chr1,75969417,75969592,blacklist_141
chr1,76568172,76573225,blacklist_142
chr1,78556199,78561231,blacklist_143
chr1,78572152,78572640,blacklist_144
chr1,78573669,78574748,blacklist_145
chr1,78574860,78574875,blacklist_146
chr1,78574919,78575360,blacklist_147
chr1,78575381,78575432,blacklist_148
chr1,79019673,79024749,blacklist_149
chr1,79463192,79468238,blacklist_150
chr1,79747698,79752811,blacklist_151
chr1,83028753,83033816,blacklist_152
chr1,84700625,84702125,blacklist_153
chr1,84754239,84754477,blacklist_154
chr1,84954090,84969845,blacklist_155
chr1,84972399,84998236,blacklist_156
chr1,84998384,85015454,blacklist_157
chr1,85022663,85049618,blacklist_158
chr1,85059780,85135451,blacklist_159
chr1,85145122,85150880,blacklist_160
chr1,85151189,85174577,blacklist_161
chr1,85176548,85219492,blacklist_162
chr1,85228489,85347109,blacklist_163
chr1,85444663,85465637,blacklist_164
chr1,85476434,85517867,blacklist_165
chr1,85520465,85662742,blacklist_166
chr1,85862051,85867109,blacklist_167
chr1,85915619,85920671,blacklist_168
chr1,86001942,86007006,blacklist_169
chr1,86372948,86373292,blacklist_170
chr1,86483501,86488520,blacklist_171
chr1,87289301,87294351,blacklist_172
chr1,87635063,87635199,blacklist_173
chr1,87902807,87903121,blacklist_174
chr1,88048886,88049296,blacklist_175
chr1,88065041,88070071,blacklist_176
chr1,88131840,88132176,blacklist_177
chr1,88142429,88142671,blacklist_178
chr1,88150296,88150472,blacklist_179
chr1,88158468,88158774,blacklist_180
chr1,88209381,88272743,blacklist_181
chr1,88273282,88312402,blacklist_182
chr1,88326470,88331530,blacklist_183
chr1,91080267,91080588,blacklist_184
chr1,92479976,92480295,blacklist_185
chr1,93287314,93292387,blacklist_186
chr1,94236123,94237423,blacklist_187
chr1,95449432,95454555,blacklist_188
chr1,95830726,95831214,blacklist_189
chr1,97451194,97456251,blacklist_190
chr1,97507283,97512363,blacklist_191
chr1,97525338,97530407,blacklist_192
chr1,99438262,99443303,blacklist_193
chr1,100177666,100182722,blacklist_194
chr1,100736385,100741461,blacklist_195
chr1,102603548,102608551,blacklist_196
chr1,102625710,102630824,blacklist_197
chr1,103542338,103547410,blacklist_198
chr1,104581623,104583423,blacklist_199
chr1,105015755,105020813,blacklist_200
chr1,105609334,105614404,blacklist_201
chr1,106442873,106443379,blacklist_202
chr1,106612810,106617816,blacklist_203
chr1,106712260,106712555,blacklist_204
chr1,107190820,107195859,blacklist_205
chr1,107448956,107449289,blacklist_206
chr1,107752250,107757250,blacklist_207
chr1,108781055,108786104,blacklist_208
chr1,109263747,109268818,blacklist_209
chr1,109333824,109338826,blacklist_210
chr1,110183329,110188400,blacklist_211
chr1,110312908,110317957,blacklist_212
chr1,110939123,110941023,blacklist_213
chr1,112989132,112994183,blacklist_214
chr1,113510072,113510268,blacklist_215
chr1,113602923,113604723,blacklist_216
chr1,114178236,114183308,blacklist_217
chr1,114555864,114560915,blacklist_218
chr1,115477723,115479623,blacklist_219
chr1,117590221,117595255,blacklist_220
chr1,118008999,118014042,blacklist_221
