chrom,start,end,summit
chr1,4785595,4785845,4785720
chr1,5082963,5083213,5083088
chr1,6214506,6214756,6214631
chr1,7088662,7088912,7088787
chr1,7397288,7397538,7397413
chr1,9748299,9748549,9748424
chr1,13267501,13267751,13267626
chr1,13294808,13295058,13294933
chr1,13372710,13372960,13372835
chr1,13373969,13374219,13374094
chr1,13374494,13374744,13374619
chr1,13426867,13427117,13426992
chr1,13513820,13514070,13513945
chr1,13589836,13590086,13589961
chr1,13593432,13593682,13593557
chr1,15805918,15806168,15806043
chr1,16104753,16105003,16104878
chr1,16656712,16656962,16656837
chr1,16688606,16688856,16688731
chr1,20820138,20820388,20820263
chr1,20890401,20890651,20890526
chr1,20912651,20912901,20912776
chr1,21331623,21331873,21331748
chr1,21333286,21333536,21333411
chr1,21333653,21333903,21333778
chr1,21960571,21960821,21960696
chr1,23915652,23915902,23915777
chr1,24678476,24678726,24678601
chr1,30873782,30874032,30873907
chr1,30950022,30950272,30950147
chr1,33719959,33720209,33720084
chr1,33814440,33814690,33814565
chr1,33883542,33883792,33883667
chr1,34011354,34011604,34011479
chr1,34472589,34472839,34472714
chr1,34478902,34479152,34479027
chr1,34510706,34510956,34510831
chr1,34802089,34802339,34802214
chr1,34843448,34843698,34843573
chr1,34852744,34852994,34852869
chr1,35653376,35653626,35653501
chr1,36097429,36097679,36097554
chr1,36160308,36160558,36160433
chr1,36244208,36244458,36244333
chr1,36264164,36264414,36264289
chr1,36273441,36273691,36273566
chr1,36293539,36293789,36293664
chr1,36294484,36294734,36294609
chr1,36296648,36296898,36296773
chr1,36307531,36307781,36307656
chr1,36307960,36308210,36308085
chr1,36309644,36309894,36309769
chr1,36369075,36369325,36369200
chr1,36511677,36511927,36511802
chr1,36547199,36547449,36547324
chr1,36761636,36761886,36761761
chr1,36766428,36766678,36766553
chr1,36766922,36767172,36767047
chr1,36767191,36767441,36767316
chr1,36797591,36797841,36797716
chr1,36920318,36920568,36920443
chr1,36922121,36922371,36922246
chr1,37299547,37299797,37299672
chr1,37317742,37317992,37317867
chr1,37430048,37430298,37430173
chr1,37864853,37865103,37864978
chr1,37890323,37890573,37890448
chr1,37997871,37998121,37997996
chr1,38664874,38665124,38664999
chr1,38694202,38694452,38694327
chr1,38898000,38898250,38898125
chr1,39367716,39367966,39367841
chr1,39535628,39535878,39535753
chr1,39577528,39577778,39577653
chr1,39714020,39714270,39714145
chr1,39842241,39842491,39842366
chr1,39842726,39842976,39842851
chr1,39896626,39896876,39896751
chr1,39900557,39900807,39900682
chr1,39917950,39918200,39918075
chr1,39922711,39922961,39922836
chr1,39923324,39923574,39923449
chr1,39936403,39936653,39936528
chr1,39949234,39949484,39949359
chr1,40085811,40086061,40085936
chr1,40381052,40381302,40381177
chr1,40382976,40383226,40383101
chr1,40399583,40399833,40399708
chr1,40427419,40427669,40427544
chr1,40465508,40465758,40465633
chr1,40469987,40470237,40470112
chr1,40475766,40476016,40475891
chr1,40479539,40479789,40479664
chr1,40515238,40515488,40515363
chr1,42851138,42851388,42851263
chr1,43465029,43465279,43465154
chr1,43534769,43535019,43534894
chr1,43536997,43537247,43537122
chr1,43540047,43540297,43540172
chr1,43542365,43542615,43542490
chr1,43562411,43562661,43562536
chr1,43827847,43828097,43827972
chr1,43880492,43880742,43880617
chr1,43933508,43933758,43933633
chr1,44042257,44042507,44042382
chr1,44102301,44102551,44102426
chr1,45795006,45795256,45795131
chr1,45795308,45795558,45795433
chr1,46852817,46853067,46852942
chr1,46853308,46853558,46853433
chr1,46894532,46894782,46894657
chr1,51478312,51478562,51478437
chr1,51509093,51509343,51509218
chr1,51514537,51514787,51514662
chr1,51577775,51578025,51577900
chr1,51584977,51585227,51585102
chr1,51585337,51585587,51585462
chr1,51593947,51594197,51594072
chr1,52011332,52011582,52011457
chr1,52019692,52019942,52019817
chr1,52113758,52114008,52113883
chr1,52119173,52119423,52119298
chr1,52233153,52233403,52233278
chr1,52363679,52363929,52363804
chr1,52374779,52375029,52374904
chr1,52388332,52388582,52388457
chr1,52391715,52391965,52391840
chr1,52597857,52598107,52597982
chr1,52727259,52727509,52727384
chr1,52799180,52799430,52799305
chr1,52800324,52800574,52800449
chr1,53296968,53297218,53297093
chr1,53352657,53352907,53352782
chr1,53774026,53774276,53774151
chr1,53776628,53776878,53776753
chr1,53781417,53781667,53781542
chr1,53785063,53785313,53785188
chr1,53791427,53791677,53791552
chr1,53797156,53797406,53797281
chr1,53850917,53851167,53851042
chr1,53851391,53851641,53851516
chr1,53875924,53876174,53876049
chr1,54438879,54439129,54439004
chr1,54492702,54492952,54492827
chr1,54493569,54493819,54493694
chr1,54585502,54585752,54585627
chr1,54841861,54842111,54841986
chr1,54871397,54871647,54871522
chr1,54896524,54896774,54896649
chr1,54913366,54913616,54913491
chr1,54913637,54913887,54913762
chr1,54923990,54924240,54924115
chr1,55027161,55027411,55027286
chr1,55028845,55029095,55028970
chr1,55052486,55052736,55052611
chr1,55087926,55088176,55088051
chr1,55130948,55131198,55131073
chr1,55237027,55237277,55237152
chr1,55405690,55405940,55405815
chr1,55446929,55447179,55447054
chr1,57406533,57406783,57406658
chr1,58303717,58303967,58303842
chr1,58392588,58392838,58392713
chr1,58423047,58423297,58423172
chr1,58423585,58423835,58423710
chr1,58445380,58445630,58445505
chr1,58586352,58586602,58586477
chr1,58652119,58652369,58652244
chr1,58716396,58716646,58716521
chr1,58721037,58721287,58721162
chr1,58722202,58722452,58722327
chr1,58743287,58743537,58743412
chr1,58797443,58797693,58797568
chr1,58802340,58802590,58802465
chr1,58806758,58807008,58806883
chr1,58956337,58956587,58956462
chr1,58973316,58973566,58973441
chr1,59602654,59602904,59602779
chr1,59912857,59913107,59912982
chr1,59917487,59917737,59917612
chr1,60016188,60016438,60016313
chr1,60098027,60098277,60098152
chr1,60180220,60180470,60180345
chr1,60460700,60460950,60460825
chr1,60539316,60539566,60539441
chr1,60746259,60746509,60746384
chr1,60755837,60756087,60755962
chr1,60758291,60758541,60758416
chr1,60759979,60760229,60760104
chr1,60777012,60777262,60777137
chr1,60887134,60887384,60887259
chr1,60898570,60898820,60898695
chr1,60907571,60907821,60907696
chr1,60908977,60909227,60909102
chr1,60911567,60911817,60911692
chr1,60913422,60913672,60913547
chr1,60916601,60916851,60916726
chr1,60941030,60941280,60941155
chr1,60977763,60978013,60977888
chr1,61027517,61027767,61027642
chr1,61029303,61029553,61029428
chr1,61030623,61030873,61030748
chr1,61046109,61046359,61046234
chr1,61050322,61050572,61050447
chr1,61135737,61135987,61135862
chr1,61139233,61139483,61139358
chr1,61141410,61141660,61141535
chr1,62875758,62876008,62875883
chr1,63114212,63114462,63114337
chr1,63114607,63114857,63114732
chr1,63176673,63176923,63176798
chr1,64121203,64121453,64121328
chr1,64121593,64121843,64121718
chr1,64527662,64527912,64527787
chr1,64531991,64532241,64532116
chr1,64532383,64532633,64532508
chr1,64532763,64533013,64532888
chr1,64617148,64617398,64617273
chr1,64956674,64956924,64956799
chr1,65186606,65186856,65186731
chr1,67038701,67038951,67038826
chr1,69537645,69537895,69537770
chr1,69537982,69538232,69538107
chr1,69544176,69544426,69544301
chr1,69657558,69657808,69657683
chr1,69669971,69670221,69670096
chr1,69681119,69681369,69681244
chr1,69687022,69687272,69687147
chr1,69687697,69687947,69687822
chr1,69688017,69688267,69688142
chr1,69692054,69692304,69692179
chr1,69752728,69752978,69752853
chr1,69759584,69759834,69759709
chr1,69768989,69769239,69769114
chr1,71102964,71103214,71103089
chr1,71556983,71557233,71557108
chr1,72254805,72255055,72254930
chr1,72307359,72307609,72307484
chr1,72583105,72583355,72583230
chr1,72711104,72711354,72711229
chr1,74236361,74236611,74236486
chr1,74248879,74249129,74249004
chr1,74262671,74262921,74262796
chr1,74386852,74387102,74386977
chr1,74390030,74390280,74390155
chr1,74391501,74391751,74391626
chr1,74397330,74397580,74397455
chr1,74588092,74588342,74588217
chr1,74802861,74803111,74802986
chr1,74806620,74806870,74806745
chr1,75142280,75142530,75142405
chr1,75142569,75142819,75142694
chr1,75192066,75192316,75192191
chr1,75248433,75248683,75248558
chr1,75317856,75318106,75317981
chr1,75521848,75522098,75521973
chr1,78488987,78489237,78489112
chr1,78537572,78537822,78537697
chr1,78657770,78658020,78657895
chr1,79711403,79711653,79711528
chr1,79761733,79761983,79761858
chr1,79775963,79776213,79776088
chr1,80213909,80214159,80214034
chr1,80340966,80341216,80341091
chr1,80381351,80381601,80381476
chr1,80389537,80389787,80389662
chr1,80409744,80409994,80409869
chr1,80416490,80416740,80416615
chr1,80440982,80441232,80441107
chr1,80637117,80637367,80637242
chr1,80643973,80644223,80644098
chr1,80665250,80665500,80665375
chr1,80670449,80670699,80670574
chr1,80730651,80730901,80730776
chr1,80746219,80746469,80746344
chr1,80757433,80757683,80757558
chr1,80758501,80758751,80758626
chr1,80765557,80765807,80765682
chr1,82283120,82283370,82283245
chr1,82316477,82316727,82316602
chr1,82807371,82807621,82807496
chr1,82819476,82819726,82819601
chr1,82830960,82831210,82831085
chr1,82831620,82831870,82831745
chr1,82832542,82832792,82832667
chr1,82833618,82833868,82833743
chr1,82834691,82834941,82834816
chr1,82839277,82839527,82839402
chr1,82900669,82900919,82900794
chr1,82975760,82976010,82975885
chr1,84838623,84838873,84838748
chr1,84839461,84839711,84839586
chr1,85686635,85686885,85686760
chr1,85687437,85687687,85687562
chr1,85732645,85732895,85732770
chr1,85735827,85736077,85735952
chr1,85739845,85740095,85739970
chr1,85751592,85751842,85751717
chr1,85761778,85762028,85761903
chr1,85794351,85794601,85794476
chr1,85894487,85894737,85894612
chr1,85895494,85895744,85895619
chr1,85896793,85897043,85896918
chr1,86064248,86064498,86064373
